season,sport,SRS
2020,Basketball,-4.01
2019,Basketball,-3.09
2018,Basketball,-6.56
2017,Basketball,-8.63
2016,Basketball,0.51
2015,Basketball,-8.8
2014,Basketball,-2.86
2013,Basketball,-9.43
2012,Basketball,-11.12
2011,Basketball,1.42
2010,Basketball,1.67
2009,Basketball,-5.72
2008,Basketball,-5.05
2007,Basketball,-10.29
2006,Basketball,-1.67
2005,Basketball,-4
2004,Basketball,6.21
2003,Basketball,7.52
2002,Basketball,3.29
2001,Basketball,-3.01
2000,Basketball,2.33
1999,Basketball,-9.42
1998,Basketball,6.8
1997,Basketball,-2.16
1996,Basketball,2.03
1995,Basketball,0.76
1994,Basketball,0.73
1993,Basketball,2.34
1992,Basketball,6.17
1991,Basketball,6.41
1990,Basketball,6.62
1989,Basketball,0.15
1988,Basketball,-3.26
1987,Basketball,-8.81
1986,Basketball,-5.43
1985,Basketball,-4.61
1984,Basketball,-0.93
1983,Basketball,-2.66
1982,Basketball,-5.71
1981,Basketball,9.33
1980,Basketball,-1.03
1979,Basketball,-4.75
1978,Basketball,-10.91
1977,Basketball,-6.55
1976,Basketball,-13.76
1975,Basketball,-20.44
1974,Basketball,-12.67
1973,Basketball,-8.79
1972,Basketball,-8.78
1971,Basketball,-12.43
1970,Basketball,-3.28
1969,Basketball,-3.66
1968,Basketball,-4.46
1967,Basketball,-7.39
1966,Basketball,-8.22
1965,Basketball,-13.08
1964,Basketball,-15.32
1963,Basketball,2.1
1962,Basketball,-3.25
1961,Basketball,1.72
1960,Basketball,-5.59
1959,Basketball,-11.06
1958,Basketball,1.04
1957,Basketball,1.45
1956,Basketball,4.06
1955,Basketball,8.27
1954,Basketball,-8.32
1953,Basketball,11.05
1952,Basketball,3.47
1951,Basketball,-3.89
1950,Basketball,-8.24
1949,Basketball,-10.64
2020,Football,-4.07
2019,Football,-10.46
2018,Football,-19.18
2017,Football,-18.37
2016,Football,-13.67
2015,Football,-11.63
2014,Football,-0.28
2013,Football,0.15
2012,Football,-3.52
2011,Football,-8.15
2010,Football,-11.08
2009,Football,-16.33
2008,Football,3.92
2007,Football,-14.59
2006,Football,-3.89
2005,Football,-15.03
2004,Football,-9.31
2003,Football,-6.96
2002,Football,-10.21
2001,Football,-4.35
2000,Football,-7.49
1999,Football,-3.59
1998,Football,0.53
1997,Football,-1.02
1996,Football,3.88
1995,Football,-8.04
1994,Football,-2.48
1993,Football,-2.81
1992,Football,-1.33
1991,Football,-5.62
1990,Football,0.5
1989,Football,-4.93
1988,Football,-11.93
1987,Football,-11.41
1986,Football,-10.24
1985,Football,-6.59
1984,Football,-11.06
1983,Football,-17.21
1982,Football,-13.59
1981,Football,-3.18
1980,Football,5.53
1979,Football,-4.58
1978,Football,-1.07
1977,Football,-8.64
1976,Football,-6.11
1975,Football,-0.41
1974,Football,-0.18
1973,Football,4.93
1972,Football,8.39
1971,Football,0.05
1970,Football,5.82
1969,Football,-1.65
1968,Football,-4.49
1967,Football,1.09
1966,Football,3.86
1965,Football,-3.53
1964,Football,7.35
1963,Football,13.41
1962,Football,2.75
1961,Football,12.41
1960,Football,17.15
1959,Football,-0.2
1958,Football,12.61
1957,Football,15.24
1956,Football,6.54
1955,Football,2.77
1954,Football,14.38
1953,Football,19.76
1952,Football,6.48
1951,Football,9.93
1950,Football,5.97
1949,Football,19.74
